Date,Open,High,Low,Close,Adj Close,Volume
2023-04-20,158.050003,159.250000,155.149994,155.199997,148.167389,35051798
2023-04-21,154.350006,157.250000,154.149994,155.600006,148.549271,25047620
2023-04-24,155.750000,156.449997,152.800003,153.350006,146.401230,35483969
2023-04-25,153.100006,153.600006,152.100006,153.449997,146.496689,27594674
2023-04-26,153.399994,154.850006,151.949997,153.750000,146.783096,27282351
2023-04-27,152.899994,158.500000,152.899994,158.500000,151.317856,18077997
2023-04-28,158.600006,159.350006,156.949997,158.850006,151.652008,15154715
2023-05-02,158.199997,160.100006,156.143997,156.149994,149.074341,17382186
2023-05-03,156.699997,157.449997,155.850006,155.899994,148.835663,23269339
2023-05-04,155.500000,155.949997,152.350006,152.899994,145.971603,27704077
2023-05-05,153.500000,155.699997,153.000000,155.550003,148.501541,13142172
2023-05-09,156.100006,156.800003,153.800003,154.199997,147.212708,14983044
2023-05-10,154.600006,155.300003,153.750000,154.600006,147.594589,13479776
2023-05-11,154.949997,155.649994,151.149994,152.550003,145.637482,18857940
2023-05-12,152.000000,153.479996,151.850006,152.399994,145.494263,8140522
2023-05-15,153.449997,154.199997,152.078003,153.750000,146.783096,15221616
2023-05-16,153.750000,154.250000,149.925003,150.300003,143.489426,20117818
2023-05-17,150.149994,150.699997,147.248001,148.100006,141.389130,22901543
2023-05-18,135.500000,144.100006,133.199997,140.699997,134.324432,109389438
2023-05-19,142.500000,146.126999,139.399994,144.949997,138.381851,19682194
2023-05-22,145.300003,149.100006,145.240005,147.850006,141.150452,274905672
2023-05-23,147.000000,150.675995,147.000000,148.500000,141.770996,132899871
2023-05-24,148.050003,150.319000,147.449997,148.800003,142.057404,20376078
2023-05-25,149.100006,149.100006,144.949997,145.100006,138.525070,18271878
2023-05-26,145.000000,145.600006,143.399994,144.050003,137.522644,15043610
2023-05-30,144.500000,147.449997,144.000000,145.899994,139.288803,10614358
2023-05-31,145.050003,149.000000,143.750000,146.850006,140.195770,32320776
2023-06-01,145.649994,149.000000,145.449997,148.649994,141.914185,19978968
2023-06-02,149.100006,150.100006,140.082993,143.649994,137.140762,26590046
2023-06-05,145.350006,148.399994,144.500000,145.149994,138.572784,11509550
2023-06-06,144.800003,145.100006,141.949997,144.050003,137.522644,20284121
2023-06-07,143.750000,150.550003,143.300003,149.449997,142.677948,22359169
2023-06-08,150.300003,150.682999,146.800003,147.550003,140.864044,19354648
2023-06-09,147.750000,149.100006,146.899994,147.000000,140.338959,16065650
2023-06-12,147.750000,147.850006,143.649994,143.649994,137.140762,16209551
2023-06-13,144.600006,144.600006,140.199997,140.649994,134.276703,22540599
2023-06-14,139.050003,141.649994,135.800003,136.800003,130.601166,43015380
2023-06-15,136.800003,136.800003,133.850006,134.649994,128.548569,30927121
2023-06-16,134.750000,137.600006,134.645004,136.399994,130.219284,46307036
2023-06-19,135.899994,137.649994,133.750000,135.300003,129.169128,19405402
2023-06-20,134.649994,136.449997,133.199997,135.050003,128.930450,10560148
2023-06-21,133.899994,134.199997,130.850006,131.199997,125.254906,21421849
2023-06-22,130.399994,131.050003,128.100006,129.199997,123.345535,14604573
2023-06-23,129.149994,165.490005,126.750000,127.500000,121.722572,29502496
2023-06-26,128.050003,128.050003,125.550003,127.650002,121.865776,22687596
2023-06-27,122.300003,125.000000,121.150002,123.000000,117.426476,35859248
2023-06-28,123.199997,125.300003,121.550003,123.849998,118.237961,29675467
2023-06-29,124.199997,124.487000,121.750000,122.300003,116.758202,29582944
2023-06-30,123.300003,124.199997,122.250000,122.349998,116.805931,34460644
2023-07-03,123.599998,124.349998,122.349998,124.349998,118.715302,27839339
2023-07-04,124.750000,125.849998,124.250000,125.000000,119.335854,98434407
2023-07-05,125.000000,125.000000,123.500000,124.050003,118.428902,52658527
2023-07-06,123.500000,124.400002,120.849998,121.500000,115.994446,25995794
2023-07-07,121.150002,123.050003,120.949997,122.250000,116.710464,16714886
2023-07-10,122.500000,124.349998,120.099998,122.000000,116.471794,22754376
2023-07-11,122.500000,122.650002,120.650002,122.250000,116.710464,13255699
2023-07-12,122.050003,126.599998,122.000000,125.550003,119.860931,18468163
2023-07-13,125.900002,126.699997,124.300003,124.500000,118.858513,14103158
2023-07-14,123.900002,125.699997,123.599998,124.300003,118.667572,14218645
2023-07-17,123.500000,125.050003,123.000000,123.000000,117.426476,47226942
2023-07-18,122.349998,122.732002,120.697998,121.599998,116.089912,27206535
2023-07-19,123.099998,127.550003,122.620003,125.550003,119.860931,24034158
2023-07-20,125.750000,127.585999,124.699997,125.800003,120.099602,17691579
2023-07-21,126.300003,126.699997,123.099998,123.150002,117.569687,18580594
2023-07-24,123.449997,127.236000,123.311996,125.949997,120.242805,13080631
2023-07-25,126.150002,126.480003,123.599998,124.300003,118.667572,13229470
2023-07-26,123.099998,126.500000,122.849998,126.500000,120.767883,23315197
2023-07-27,127.400002,131.100006,121.550003,123.900002,118.285698,38881693
2023-07-28,123.849998,125.650002,123.550003,124.150002,118.524368,34769196
2023-07-31,124.500000,124.949997,121.150002,122.000000,116.471794,21268429
2023-08-01,121.949997,124.050003,121.458000,122.349998,116.805931,18615275
2023-08-02,121.250000,121.899002,118.300003,118.949997,113.559998,50759328
2023-08-03,112.800003,115.099998,111.785004,113.949997,113.949997,155365539
2023-08-04,114.199997,115.050003,112.250000,114.900002,114.900002,21206304
2023-08-07,113.599998,114.300003,112.099998,113.400002,113.400002,19090570
2023-08-08,113.400002,113.750000,111.199997,112.349998,112.349998,21219565
2023-08-09,113.000000,115.800003,112.699997,113.900002,113.900002,25001407
2023-08-10,114.650002,115.650002,114.150002,115.250000,115.250000,14216945
2023-08-11,114.900002,116.150002,114.650002,115.000000,115.000000,18788920
2023-08-14,115.000000,115.550003,114.449997,115.199997,115.199997,20681376
2023-08-15,114.750000,115.199997,113.150002,113.550003,113.550003,13930489
2023-08-16,113.199997,113.739998,112.250000,112.550003,112.550003,45776612
2023-08-17,112.150002,113.639999,111.699997,113.000000,113.000000,11831395
2023-08-18,112.750000,113.949997,111.099998,111.550003,111.550003,6523216
